epoch,mAP,overall_loss
0,28.667226791381836,194.39500536237446
1,29.25050926208496,91.34247698102679
2,31.67617416381836,90.86095373971122
3,31.43255043029785,92.47031021118164
4,32.65971755981445,222.0654994419643
5,43.26466751098633,212.45309012276786
6,35.437538146972656,213.32937840053012
7,40.86715316772461,212.25514003208704
8,48.95585632324219,173.61438860212053
9,54.497535705566406,156.62731715611048
10,63.356666564941406,154.50623103550504
11,57.40122985839844,154.42155238560267
12,53.77093505859375,33.345921652657644
13,62.5803337097168,14.514461653573173
14,65.94087219238281,8.875492232186454
15,58.70330810546875,8.646023205348424
16,54.89957809448242,32.18495396205358
17,58.1776008605957,16.699172019958493
18,61.47233963012695,8.958010946001327
19,68.27445983886719,7.308821473802839
20,58.912174224853516,31.28868729727609
21,63.92399597167969,17.482254913875035
22,57.76405334472656,9.927403245653425
23,68.73380279541016,8.81039537702288
24,53.369712829589844,30.200037275041854
25,53.226524353027344,17.703486033848353
26,56.3883171081543,10.143424034118652
27,55.824134826660156,9.816611528396606
28,64.05109405517578,32.59303201947894
29,63.123043060302734,20.00436292375837
30,57.07085037231445,12.166818346296038
31,72.57837677001953,8.639073916843959
32,59.16438674926758,36.6488767351423
33,69.3907470703125,22.21855190822056
34,69.92044830322266,12.134753908429827
35,71.68062591552734,9.198541913713727
