epoch,entropy_loss,relation_loss,overall_loss,relation_loss_for_adj
0,7.990546283072957,4.769570102206922,12.760116385279881,4.764866930137646
1,7.632319567772681,4.298703604531542,11.931023172304227,4.298717453824087
2,7.058792888430473,4.051348416723314,11.110141305153778,4.051449431694073
3,6.455282562114188,3.876648605178272,10.331931167292453,3.8767118387077026
4,5.850406577401364,3.95368187116238,9.804088448563745,3.9540282022689643
5,5.867863884950858,3.717090151754925,9.584954036705806,3.717203319481989
6,5.52829353946392,3.4337700756870833,8.962063615150996,3.433869713657703
7,5.433286516667754,3.5135006521763006,8.946787168844054,3.5135644984367755
8,5.026169470573171,3.4071495938509946,8.433319064424165,3.407639678550489
9,4.8164758793708735,3.282897858110515,8.0993737374814,3.283047231151413
10,4.73813670665383,3.18972925027721,7.927865956931035,3.190087676587306
11,4.38088696153399,3.065149613603283,7.446036575137278,3.0655224751524037
12,4.078574372162912,3.066480605646774,7.145054977809681,3.0670761244587865
13,4.113146916070815,2.9145821767236204,7.027729092794428,2.9148255777148915
14,3.833021537931156,2.8791319440106524,6.712153481941802,2.879338636438489
15,3.7827114825821653,2.904371242018728,6.687082724600891,2.904910076780671
16,3.602195986829612,2.834818486353492,6.437014473183103,2.8358696205878497
17,3.2783774541949406,2.6823439065467194,5.960721360741656,2.683007876141267
18,3.2875146861327953,2.6174057854443507,5.904920471577143,2.6181225936789176
19,3.1651745371827222,2.564365270330937,5.729539807513663,2.565026762105453
20,2.9138056342837255,2.6926726223809516,5.606478256664681,2.6937513145375944
21,2.9168980345508246,2.410766444604915,5.327664479155741,2.411540757712739
22,2.693397316363099,2.3811771909234807,5.07457450728658,2.3821526047793338
23,2.5938488688198094,2.3496854569277437,4.943534325747554,2.350945936302072
24,2.6069788399817315,2.4567377264136123,5.063716566395348,2.4587315971083643
25,2.3438489066890527,2.26708906600241,4.610937972691461,2.2689158976775836
26,2.375483042806351,2.185935036404846,4.561418079211201,2.187534982388231
27,2.385766707175046,2.245001499575311,4.6307682067503535,2.2470809491397494
28,2.068867810429944,2.250853849953423,4.319721660383374,2.2533097219193
29,2.106010407363322,2.1368918954293656,4.242902302792688,2.1395617084419607
30,2.1655161371252167,2.111597108630373,4.2771132457555945,2.114502938237487
31,1.8804020656120946,2.0503814534478284,3.9307835190599243,2.055238695279783
32,1.7050162560321018,2.0178293894235324,3.7228456454556365,2.021511752553575
33,1.7539340978156592,1.902480800353163,3.6564148981688223,1.9069081613755463
34,1.7543311487585889,1.9821172169756611,3.7364483657342484,1.9864381465576342
35,1.800439625135618,1.8952700582464128,3.69570968338203,1.9013004937403823
36,1.5371014728664134,1.9454346455498717,3.482536118416285,1.9495019677906356
37,1.5812412602556072,1.8976248394602577,3.4788660997158622,1.9029257728687843
38,1.46954609846923,1.9311147376844766,3.4006608361537065,1.9384427052741484
39,1.61586475674312,1.8542026439389747,3.470067400682098,1.862934967326053
40,1.353614726239493,1.9327578492896287,3.2863725755291253,1.9391875856957852
41,1.4995516643653826,1.800638173592975,3.300189837958355,1.8080534607963208
42,1.3769626974856353,1.8524238561111832,3.2293865535968163,1.8587237391703795
43,1.4190769472050189,1.8213324527372792,3.2404093999422963,1.831058950062101
44,1.2944742895534702,1.8529790764229177,3.147453365976391,1.8654424662025257
45,1.2886788948939507,1.702670114111018,2.9913490090049666,1.714900585354166
46,1.1129651693759386,1.6509614575382823,2.7639266269142193,1.6592784874076367
47,1.262420347056477,1.6351153887608931,2.897535735817373,1.6457443158347864
48,1.2106871075834897,1.7240350657019141,2.934722173285404,1.731375197866672
49,1.1349798587666171,1.8755192830473888,3.0104991418140092,1.8926231378532743
50,1.1476852257466705,1.724000421304761,2.871685647051425,1.7332925377299406
51,1.0213496565531932,1.6688176065581024,2.690167263111294,1.6831727589025636
52,1.1250690370279794,1.674976133139817,2.800045170167797,1.6842485551886912
53,1.1046620243987957,1.6152171018624861,2.7198791262612843,1.6261251606017622
54,0.993399039118446,1.6131055822569869,2.6065046213754313,1.6258436600988448
55,0.9862822899335133,1.6939188707264057,2.680201160659918,1.7067626146797554
56,0.9781837050529413,1.6932760942405165,2.67145979929346,1.7036796146227917
57,0.9487262563400773,1.6375960663699067,2.5863223227099823,1.6508929438890825
58,0.9295381310802754,1.7158837800324147,2.645421911112691,1.7327011354932293
59,0.8790304377428912,1.6428397938083883,2.5218702315512767,1.6601967174113101
60,0.9199651486495818,1.763823105997885,2.683788254647465,1.7774958893742707
61,0.9268094586838559,1.757683627830105,2.6844930865139602,1.7762771375412079
62,0.8830911194273129,1.5817021192210203,2.4647932386483338,1.5980485167804845
63,0.8113129219613852,1.6966101398160875,2.50792306177747,1.7194863343405635
64,0.8375432670146941,1.7012428496419825,2.538786116656676,1.712253381353471
65,0.8276785767041213,1.677161182775542,2.504839759479662,1.692331994969043
66,0.7576670495830999,1.6953029652854772,2.452970014868576,1.712087633201009
67,0.8110918729766484,1.7601759087323823,2.5712677817090293,1.7836305878029084
68,0.7725544331745413,1.7519983820286011,2.5245528152031405,1.7634299241237088
69,0.8220010807619527,1.5740926384040674,2.3960937191660183,1.5970384352625087
70,0.7184841012415885,1.581155623883619,2.2996397251252088,1.60031316227456
71,0.799659648756693,1.62705264360291,2.426712292359605,1.6539148900145626
72,0.7520472830397869,1.6033038755206417,2.355351158560429,1.6171045869132066
73,0.7230962880586201,1.5851892473075804,2.3082855353662035,1.6041021257431916
74,0.6538261652975886,1.774616040763955,2.428442206061545,1.8039483568901709
75,0.7168943238774365,1.732841978756347,2.4497363026337826,1.758791445547373
76,0.7630134694531588,1.7246347691844528,2.4876482386376075,1.74217528525821
77,0.7651407980275238,1.5721890038713806,2.3373298018989006,1.590605406658119
78,0.7179412486857054,1.6151040625973294,2.3330453112830387,1.635897819635461
79,0.6925975860892043,1.7373068486736545,2.4299044347628596,1.76055387512755
80,0.6752772201343876,1.5928014713428127,2.268078691477201,1.6065937918214181
81,0.6253729328086856,1.7289632082604098,2.3543361410690937,1.7562947928083477
82,0.7477162679209415,1.7165549737273638,2.464271241648305,1.7372405862813076
83,0.6807134992445236,1.7861526496410534,2.4668661488855776,1.818633774452552
84,0.6594752221876038,1.6080587591462951,2.267533981333895,1.6333251288154826
85,0.6676629202370232,1.4948010514101404,2.162463971647162,1.529447445372134
86,0.588433028920916,1.744747762386178,2.3331807913070897,1.7743720486047319
87,0.6602955000202434,1.6747351242499886,2.3350306242702303,1.6983185421455347
88,0.6798155289016725,1.6866938885742462,2.3665094174759185,1.7009160855096115
89,0.6368278935460718,1.5962931226933659,2.233121016239436,1.6151792486389849
90,0.6270397895322862,1.7571520478422156,2.3841918373745017,1.7803711982011916
91,0.6674227662844725,1.7451098720915956,2.4125326383760717,1.772330687950413
92,0.6157250464651924,1.55245639372703,2.1681814401922233,1.5682207203016574
93,0.625377159500995,1.67922248413138,2.304599643632374,1.699706074592748
94,0.6081766588430377,1.553591998482501,2.1617686573255375,1.5780532025605989
95,0.5919069325660496,1.7100107331522818,2.301917665718331,1.7515028688053813
96,0.6227007008613292,1.623257812023961,2.245958512885288,1.6413934599002236
97,0.5603288016852352,1.598680361147485,2.159009162832718,1.6174604189334314
98,0.6311367046901366,1.6022417581039459,2.23337846279408,1.6268270440537587
99,0.5683895539348919,1.6999263287316053,2.2683158826664975,1.7268474581323336
100,0.5667056665826109,1.5281296139768334,2.094835280559448,1.5452365855744634
101,0.5881727100800769,1.6282583656883571,2.2164310757684325,1.6532269564371207
102,0.496864514277543,1.6082726057707384,2.105137120048281,1.6302854843162289
103,0.5386797746899852,1.641432042731893,2.180111817421878,1.6665177220152947
104,0.5912897761048016,1.533804468331882,2.1250942444366823,1.549090356280457
105,0.5258924955945354,1.62163296454904,2.147525460143578,1.639500352329721
106,0.5882356923770922,1.7076813577691707,2.2959170501462642,1.7295091135929577
107,0.5911782461898742,1.594549821385569,2.185728067575442,1.624059261280404
108,0.5914489300320848,1.7038149145271524,2.2952638445592384,1.722709651236736
109,0.5790046189575048,1.6553985381879577,2.2344031571454646,1.6764472319603276
110,0.5678982426936313,1.74079381633889,2.3086920590325177,1.770110253307671
111,0.5368293444110412,1.608724375201894,2.1455537196129315,1.642963204911961
112,0.5347236613901789,1.574968172442917,2.1096918338330957,1.5963347220000186
113,0.5396344775138022,1.6502470247794572,2.18988150229326,1.6709197105376703
114,0.5508684327067732,1.704449401782809,2.255317834489584,1.7318826597743153
115,0.5184658554163545,1.5894468923572858,2.1079127477736406,1.6100418404996857
116,0.5472368203319868,1.5816600143130917,2.128896834645077,1.5970176933388684
117,0.4803015360139724,1.4727412338913402,1.953042769905311,1.4968677448202155
118,0.48058873410890784,1.6539876506966966,2.134576384805601,1.6778959947314824
119,0.5393144073227142,1.7304186365111234,2.2697330438338366,1.7546335106600803
