3,913,1113,142,214,18
7,1904,2077,143,263,413
11,2698,2853,147,263,1239
15,3495,3589,188,263,2065
19,4197,4316,318,263,2906
23,4833,5005,712,263,3587
27,5483,5642,1100,263,4312
