3,15113,13581,22583,24531,10274,20888,20650,25006,25564,25256,23763,9984,24821,25714,18128
7,36439,34196,42198,43657,30137,42119,41967,46067,46550,46691,45251,28838,44397,45186,38019
11,56716,55067,62180,62589,50658,62903,62995,67031,67305,67366,66075,48887,64295,64819,58682
15,77560,75348,82316,82363,70393,82906,83771,87913,88108,88359,86274,68978,85325,84459,79351
19,97537,96096,103095,101547,89895,102900,104463,108383,108925,108856,107970,89227,105525,104864,99997
23,117377,116435,123394,120860,110686,123154,125059,128885,129830,130043,128908,109041,125291,125276,120897
27,136904,136725,144422,139936,130746,142858,145710,149011,151088,150091,150431,129394,145641,146006,142029
