epoch,mAP,asym_loss,dynamic_adj_loss,overall_loss
0,49.739742279052734,8.280188973913802,0.0,8.280188973913802
1,76.64171600341797,5.153407210153888,0.0,5.153407210153888
2,82.2576675415039,4.2048674027125035,0.0,4.2048674027125035
3,85.32684326171875,3.695636296103188,0.0,3.695636296103188
4,87.5820541381836,3.469665002315601,0.0,3.469665002315601
5,88.99488830566406,3.2027170527065905,0.0,3.2027170527065905
6,90.05294799804688,2.9036292104010886,0.0,2.9036292104010886
7,90.7159194946289,2.696469351543603,0.0,2.696469351543603
8,91.29468536376953,2.598142021514,0.0,2.598142021514
9,92.80824279785156,2.444122958056469,0.0,2.444122958056469
10,93.33372497558594,2.3804667387025584,0.0,2.3804667387025584
11,94.1445541381836,2.0869468034159206,0.0,2.0869468034159206
12,94.64376831054688,2.0620361558089026,0.0,2.0620361558089026
13,94.81331634521484,1.9115644800113456,0.0,1.9115644800113456
14,95.03730010986328,1.816741507843876,0.0,1.816741507843876
15,95.71983337402344,1.7667154260772335,0.0,1.7667154260772335
16,96.11370086669922,1.7610119187028697,0.0,1.7610119187028697
17,96.15093231201172,1.631117467973249,0.0,1.631117467973249
18,96.39814758300781,1.6487079106324116,0.0,1.6487079106324116
19,97.02278137207031,1.6026594398926335,0.0,1.6026594398926335
20,97.32856750488281,1.4296509905170038,0.0,1.4296509905170038
21,97.25174713134766,1.4236050060032115,0.0,1.4236050060032115
22,97.52354431152344,1.3943484387499219,0.0,1.3943484387499219
23,97.4088363647461,1.3678811594104092,0.0,1.3678811594104092
24,97.62711334228516,1.3012475613372545,0.0,1.3012475613372545
25,98.00713348388672,1.2302892610747764,0.0,1.2302892610747764
26,98.17536926269531,1.197225036403389,0.0,1.197225036403389
27,98.14720153808594,1.196740964203017,0.0,1.196740964203017
28,98.36792755126953,1.1437229831167999,0.0,1.1437229831167999
29,98.44480895996094,1.1321551076909322,0.0,1.1321551076909322
30,98.68612670898438,1.0452059218329746,0.0,1.0452059218329746
31,98.59001159667969,1.0443094150817143,0.0,1.0443094150817143
