agg_iter,mAP,avgloss
0,86.77969528286549,2.856060515338993
1,90.7691013135969,3.180375736455827
2,91.64715136160895,2.8202458303146525
3,91.51988116378342,3.2286165902521775
4,91.17905045469182,4.7510737781109444
5,91.10774565456728,4.154333507670032
6,90.86749053205993,3.845530123079136
7,90.71104996315235,3.9125146709131067
8,90.60380551306413,3.91076424100218
9,90.72220012533096,4.02285783889187
10,90.70228699832779,4.129448808985797
11,90.26383255741787,4.31836838685787
12,90.2062271710428,4.630333989140715
13,90.18295434629387,4.709235970462173
14,90.27621108713419,4.8638457445114245
15,90.35182879266566,4.985421380946797
16,90.13470195053914,5.084354068661025
17,90.04589045107234,5.2301586317600295
18,89.84456470773453,5.38314472167138
19,89.740507223677,5.440114706905625
20,89.93707674826197,5.621235812158487
21,89.87770328967068,5.727766213264598
22,89.98241431259676,5.8095280812624095
23,90.09953268976464,6.047108637949459
24,89.96741367980312,6.166197435979082
25,89.91672458469785,6.300453673119155
26,89.88737031643178,6.384206025306641
27,89.71722235572098,6.402161438167765
28,89.6387160953422,6.550589666835117
29,89.53311584219917,6.684843244347167
30,89.64650217793559,6.842467586612717
31,89.64332644893271,6.915188758927688
32,89.7200013805687,7.079022130096428
33,89.73010057043206,6.982799608729762
34,89.51077460138842,7.184758932455967
35,89.60609829989623,7.271365435272431
36,89.5708485483243,7.176678266581091
37,89.31475167549482,7.383589565549943
38,89.60604529455973,7.270293719290022
39,89.69871048935872,7.3480103985274665
40,89.7163507305108,7.512578281867554
41,89.49427203298495,7.4533017137888455
42,89.51301749417273,7.470634114597505
43,89.64940047697068,7.463388222730021
44,89.72169315655582,7.523553376350626
45,89.71500957476073,7.487564917222017
46,89.8405056589736,7.40561547758056
47,89.7450310869432,7.450190882689806
