epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
12,1.0,-1.0,-1.0,-1.0,1.0,0.2857142984867096,0.7228605151176453,-1.0,0.979926586151123,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.97709059715271,-1.0,1.0,-1.0,-1.0,80.81990814208984
13,0.5,-1.0,-1.0,-1.0,0.09090909361839294,0.5833333134651184,0.7454545497894287,-1.0,0.9864221215248108,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9806432127952576,-1.0,1.0,-1.0,-1.0,63.58452987670898
14,1.0,-1.0,-1.0,-1.0,1.0,0.2844827473163605,0.8125272393226624,-1.0,0.9970961809158325,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9598793983459473,-1.0,0.3333333432674408,-1.0,-1.0,71.5081558227539
15,1.0,-1.0,-1.0,-1.0,0.0476190485060215,0.5454545617103577,0.7003828883171082,-1.0,0.9864221215248108,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9676777124404907,-1.0,1.0,-1.0,-1.0,69.76112365722656
16,0.05000000074505806,-1.0,-1.0,-1.0,1.0,0.4166666567325592,0.7938151359558105,-1.0,0.9758062362670898,-1.0,-1.0,-1.0,-1.0,0.06666667014360428,-1.0,0.9849477410316467,-1.0,0.5,-1.0,-1.0,59.848777770996094
17,1.0,-1.0,-1.0,-1.0,0.25,0.2857142984867096,0.6729517579078674,-1.0,0.9828560948371887,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.9726348519325256,-1.0,0.5,-1.0,-1.0,58.76492691040039
18,1.0,-1.0,-1.0,-1.0,1.0,0.5357142686843872,0.8010069727897644,-1.0,0.9836297631263733,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.968268871307373,-1.0,1.0,-1.0,-1.0,79.85774993896484
19,0.043478261679410934,-1.0,-1.0,-1.0,0.09090909361839294,0.15833333134651184,0.7111356258392334,-1.0,0.931599497795105,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9700445532798767,-1.0,0.1666666716337204,-1.0,-1.0,39.2949447631836
20,1.0,-1.0,-1.0,-1.0,1.0,0.28333333134651184,0.7534369826316833,-1.0,0.9880282878875732,-1.0,-1.0,-1.0,-1.0,0.07692307978868484,-1.0,0.9794377088546753,-1.0,1.0,-1.0,-1.0,76.01448822021484
21,1.0,-1.0,-1.0,-1.0,1.0,0.13571429252624512,0.6645100116729736,-1.0,0.9719934463500977,-1.0,-1.0,-1.0,-1.0,0.05000000074505806,-1.0,0.9760074615478516,-1.0,0.5,-1.0,-1.0,66.22781372070312
22,1.0,-1.0,-1.0,-1.0,0.5,0.2857142984867096,0.6354281306266785,-1.0,0.9762254357337952,-1.0,-1.0,-1.0,-1.0,0.09090909361839294,-1.0,0.9637761116027832,-1.0,0.3333333432674408,-1.0,-1.0,59.81733322143555
23,1.0,-1.0,-1.0,-1.0,1.0,0.2857142984867096,0.6347487568855286,-1.0,0.9730963110923767,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9658318161964417,-1.0,1.0,-1.0,-1.0,73.6590576171875
24,1.0,-1.0,-1.0,-1.0,1.0,0.1666666716337204,0.6320528984069824,-1.0,0.9614043235778809,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9683295488357544,-1.0,0.5,-1.0,-1.0,68.48066711425781
25,1.0,-1.0,-1.0,-1.0,1.0,0.1607142835855484,0.6833512187004089,-1.0,0.9970961809158325,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.988611102104187,-1.0,0.3333333432674408,-1.0,-1.0,67.66383361816406
26,1.0,-1.0,-1.0,-1.0,1.0,0.12916666269302368,0.656701922416687,-1.0,0.992865264415741,-1.0,-1.0,-1.0,-1.0,0.125,-1.0,0.9612593650817871,-1.0,0.5,-1.0,-1.0,67.06241607666016
27,1.0,-1.0,-1.0,-1.0,1.0,0.1964285671710968,0.6768087148666382,-1.0,0.9713186621665955,-1.0,-1.0,-1.0,-1.0,0.0833333358168602,-1.0,0.9615749716758728,-1.0,1.0,-1.0,-1.0,73.61830139160156
28,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.28333333134651184,0.7375186681747437,-1.0,0.9919003248214722,-1.0,-1.0,-1.0,-1.0,0.1666666716337204,-1.0,0.9726086854934692,-1.0,1.0,-1.0,-1.0,65.78923797607422
29,1.0,-1.0,-1.0,-1.0,1.0,0.28333333134651184,0.8225589394569397,-1.0,0.9695839881896973,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9826037883758545,-1.0,0.5,-1.0,-1.0,72.60099792480469
30,1.0,-1.0,-1.0,-1.0,1.0,0.3214285671710968,0.6946173906326294,-1.0,0.9837162494659424,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9866960048675537,-1.0,0.5,-1.0,-1.0,71.08073425292969
