epoch,mAP,asym_loss
0,73.26750183105469,12.522247859409877
1,71.65521240234375,9.632352828979492
2,77.14382934570312,8.84410422188895
3,84.19621276855469,8.663394519260951
4,83.32877349853516,10.37101227896554
5,83.94692993164062,7.453603335789272
6,85.26203918457031,4.9737749099731445
7,86.61624908447266,3.6248672349112376
8,86.7003173828125,6.543795721871512
9,87.67924499511719,4.939821379525321
10,89.32688903808594,3.5484938280923024
11,92.83309936523438,2.770550455365862
12,82.43511962890625,7.490693773542131
13,85.31708526611328,5.660765307290213
14,91.0774917602539,4.001711130142212
15,89.5315170288086,3.277885811669486
16,86.81454467773438,7.186760084969657
17,83.57829284667969,5.868752070835659
18,87.85125732421875,4.056148290634155
19,88.77134704589844,3.4305344309125627
20,89.2724609375,7.786620957510812
21,84.66455078125,6.549285616193499
22,89.19888305664062,4.7123318399701795
23,86.80352783203125,4.056269543511527
