3,461,1188,1374,1
7,1147,3291,1609,1
11,1944,5165,1962,1
15,2830,6887,2378,1
19,3737,8630,2752,1
23,4617,10363,3163,1
27,5472,12143,3552,1
31,6302,13954,3935,1
35,7169,15665,4381,1
39,8002,17479,4758,1
