agg_iter,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.5364292162494129,0.7826257345002485,0.636478255675494,0.5183541795329304,0.6911509328323227,0.5922217186894179,0.6976179442857612,0.648670944641242,0.6669827790004494,0.6745791876829272,0.5677649928832607,0.6013651801687221,65.33613485979816,11.968166902537607
1,0.5545080837231473,0.8055703658348633,0.6568348129003873,0.5455277162195883,0.723984975834465,0.6220759177706698,0.7240662343757683,0.66551734952971,0.688131225934026,0.6872243349042628,0.5939401516719772,0.6261469973041509,70.13884451146453,11.146179443578724
2,0.5777130205334321,0.8097590511252011,0.6743124704321749,0.5461969845175627,0.7381339851871042,0.6277349155986622,0.7384665478317227,0.6752225870730898,0.7000360915095067,0.6989300622611877,0.6087767284557839,0.6400110248752858,71.31291180777258,10.804639028631563
3,0.5747492464584091,0.8137941256258644,0.6736593261160918,0.5587500683839896,0.7421592278382654,0.637305914054072,0.7409644443180526,0.6775473308726171,0.7024170226189848,0.6946995866522129,0.6152248999484778,0.6422300392112931,71.98065914122868,10.786898595530753
4,0.5861519544014845,0.8217518759831028,0.6842219362071369,0.569500669494022,0.7485720425033386,0.6467899189706372,0.7488713830344608,0.6855973338034361,0.7103934615751787,0.7115705201746677,0.6211832015060731,0.6528193422818697,72.81942809584737,10.612154465173624
5,0.5899912963896933,0.8188829548955858,0.6858154079894858,0.578911505804067,0.7446862597303116,0.651313967089824,0.7521606919551693,0.6846345588911379,0.7114347391323808,0.7192120717953046,0.6184626167575785,0.6548595100165508,73.01097536551202,10.87308416858295
6,0.6019340383757629,0.810255442144553,0.6906983753103516,0.5864373691983141,0.7366665999328085,0.6528574742112303,0.7595546678628908,0.6804369855293649,0.7127049760651717,0.7286747137684778,0.6176583016106425,0.658530064466795,73.08093865245024,11.31070259133488
7,0.6319454646886928,0.7963514268425476,0.7045268557453662,0.5905365875994124,0.73343866573456,0.6540554253171108,0.7669634771860899,0.6793793889127449,0.7155723901219481,0.7149754974087786,0.625970746051617,0.6565072257433334,72.8530021683096,11.676217365797479
8,0.6362155758234302,0.7913530300519006,0.7052051870751092,0.6109894740309907,0.7218514812926571,0.661766264964914,0.77073116870407,0.6754781158254255,0.7151802305206113,0.7289702319054121,0.6164601670077327,0.6584787371788194,72.5101211401363,12.45466798875577
9,0.6360547829465858,0.7887713359014134,0.7040238827658305,0.6057614810219479,0.7182562389329166,0.6571002868376061,0.7692185432273746,0.6751922335381171,0.7143494920297814,0.7304635854318103,0.6161420679491031,0.6590895447755709,72.25279671559593,12.983522629408398
10,0.6346415140441893,0.783967939094216,0.7012705558104259,0.599407721974859,0.7123891096621228,0.650824647658079,0.767697852993843,0.6720602109505855,0.7119149801745492,0.7212223323311767,0.6127519040102453,0.6524915732602765,71.72552302559876,14.352159809046663
11,0.6198118433077342,0.7880071050342269,0.6937710937663107,0.5928207551339805,0.7179756485428237,0.6492983976040048,0.7626643044386958,0.6721136780752227,0.7096309400633428,0.718476885809646,0.6115055294064563,0.6500864969519611,71.81043250072688,14.801382230370033
12,0.6360033005854809,0.7776662916343001,0.6995209234353884,0.5969973919842476,0.7076399226997837,0.647509891248354,0.763682978842925,0.6700006139002345,0.7089597550604037,0.7157752313819684,0.6110425799662126,0.6492266159082998,71.3988971383255,15.354475348996777
