3,0,826,0,138,1436
7,135,1413,446,838,1968
11,373,1991,907,1459,2470
15,630,2460,1373,2081,3056
19,871,2910,1822,2691,3706
23,1176,3334,2277,3270,4343
27,1419,3719,2756,3864,5042
