epoch,mAP,asym_loss
0,47.14365005493164,8.409595049344578
1,58.34640121459961,6.226795746729924
2,71.6692123413086,5.990920103513278
3,80.50831604003906,5.858974823584923
4,78.00270080566406,8.87693082369291
5,82.28907775878906,4.080381356752836
6,92.74915313720703,2.1953739661436815
7,88.56793975830078,1.4073430024660551
8,85.64137268066406,6.844421973595253
9,86.41578674316406,3.51236315873953
10,83.70291900634766,1.8293365881993222
11,90.78587341308594,1.2105595744573154
12,88.82902526855469,7.524761640108549
13,89.96426391601562,4.391711565164419
14,89.14554595947266,2.186214749629681
15,90.45235443115234,1.2166125774383545
16,81.95986938476562,8.520327274615948
17,87.1524658203125,4.233815101476816
18,89.17665100097656,2.6129342867777896
19,92.82987976074219,1.4570828676223755
20,84.66240692138672,8.332790081317608
21,89.60231018066406,5.03573648746197
22,89.18529510498047,2.818247189888587
23,90.61626434326172,1.8612790016027596
24,84.62764739990234,10.344315602229189
25,88.43299865722656,6.392249987675593
26,86.67724609375,4.019184259267954
27,93.36541748046875,2.2412508451021638
